Rank,Name,School
1,Nick Bosa,Ohio State
2,Clelin Ferrell,Clemson
3,Drew Lock,Missouri
4,Greedy Williams,LSU
5,Ed Oliver,Houston
6,A.J. Brown,Ole Miss
7,Deandre Baker,Georgia
8,Josh Allen,Kentucky
9,Rashan Gary,Michigan
10,Ryan Finley,NC State
11,Noah Fant,Iowa
12,Austin Bryant,Clemson
13,Parris Campbell,Ohio State
14,Trey Adams,Washington
15,Anfernee Jennings,Alabama
16,Raekwon Davis,Alabama
17,Julian Love,Notre Dame
18,Tyler Petite,USC
19,Anthony Johnson,Buffalo
20,Joe Jackson,Miami
21,Jonah Williams,Alabama
22,Cameron Smith,USC
23,T.J. Edwards,Wisconsin
24,N'Keal Harry,Arizona State
25,Justin Herbert,Oregon
26,Christian Wilkins,Clemson
27,Bryce Love,Stanford
28,Mitch Hyatt,Clemson
29,Marvell Tell III,USC
30,Dalton Risner,Kansas State
31,Martez Ivey,Florida
32,Dre'Mont Jones,Ohio State
33,Ahmmon Richards,Miami (FL)
34,Kaleb McGary,Washington
35,Nick Fitzgerald,Mississippi St
36,Zach Allen,Boston College
37,Beau Benzschawel,Wisconsin
38,Marquise Brown,Oklahoma
39,Dexter Lawrence,Clemson
40,Devin White,LSU
41,C.J. Conrad,Kentucky
42,Montez Sweat,Mississippi St
43,Ben Powers,Oklahoma
44,Tommy Sweeney,Boston College
45,Porter Gustin,USC
46,Nate Herbig,Stanford
47,Connor McGovern,Penn State
48,Deebo Samuel,South Carolina
49,Damien Harris,Alabama
50,Jarrett Stidham,Auburn
51,Lukas Denis,Boston College
52,David Montgomery,Iowa State
53,Brian Burns,Florida St
54,Jerry Tillery,Notre Dame
55,Iman Marshall,USC
56,Greg Little,Ole Miss
57,Michael Deiter,Wisconsin
58,Collin Johnson,Texas
59,Kavontae Turpin,TCU
60,Garrett Brumfield,LSU
61,Brandon Fritts,North Carolina
62,Marquise Copeland,Cincinnati
63,Ross Pierschbacher,Alabama
64,Isaiah Buggs,Alabama
65,Mike Weber,Ohio State
66,Clayton Thorson,Northwestern
67,David Edwards,Wisconsin
68,Terry Beckner Jr.,Missouri
69,Jaquan Johnson,Miami (FL)
70,Darius Slayton,Auburn
71,Jesse Burkett,Stanford
72,Alijah Holder,Stanford
73,Demarcus Christmas,Florida State
74,Shaquille Quarterman,Miami
75,Shareef Miller,Penn State
76,David Sills,West Virginia
77,Isaiah Prince,Ohio State
78,Ricky Walker,Virginia Tech
79,Devin Singletary,Florida Atlantic
80,Mack Wilson,Alabama
81,Lavert Hill,Michigan
82,Alize Mack,Notre Dame
83,Derrick Brown,Auburn
84,Raequan Williams,Michigan St
85,Kendall Joseph,Clemson
86,Myles Gaskin,Washington
87,Will Grier,West Virginia
88,Terry Godwin,Georgia
89,Jeffery Simmons,Mississippi St
90,Corbin Kaufusi,BYU
91,Tyree Kinnel,Michigan
92,Matt Sokol,Michigan State
93,Terrell Lewis,Alabama
94,Jabari Zuniga,Florida
95,Max Scharping,Northern Illinois
96,Michael Jackson,Miami (FL)
97,Gary Jennings,West Virginia
98,Jalen Jelks,Oregon
99,Brett Rypien,Boise State
100,Chase Winovich,Michigan
